year,基隆市,臺北市,新北市,桃園市,新竹縣,新竹市,苗栗縣,臺中市,南投縣,彰化縣,雲林縣,嘉義縣,嘉義市,臺南市,高雄市,屏東縣,宜蘭縣,花蓮縣,臺東縣,金門縣,澎湖縣,連江縣
113,0,0,1,2,1,0,5,4,22,0,1,0,0,0,2,1,1,5,4,0,0,0
112,1,0,3,3,1,0,23,0,30,0,0,2,0,0,0,0,2,3,17,0,0,0
111,3,0,5,2,1,0,10,3,41,0,0,1,0,0,2,0,3,1,11,0,0,0
110,2,0,2,2,2,0,9,1,57,2,1,1,0,7,0,0,0,1,7,0,0,0
109,0,0,1,3,6,0,2,2,43,0,0,1,0,0,2,0,0,0,12,0,0,0
108,6,0,1,4,0,0,1,2,22,1,0,2,0,1,1,2,1,1,28,0,0,0
107,0,0,2,4,1,0,3,7,22,0,0,1,0,0,2,0,5,6,13,0,0,0
106,0,0,0,0,2,0,1,1,18,0,0,0,0,0,0,0,3,2,6,0,0,0
105,0,0,0,0,1,0,2,5,10,1,0,0,0,1,0,0,1,1,6,0,0,0
104,0,0,0,0,1,0,3,2,29,0,0,0,0,1,1,0,0,1,10,0,0,0
103,0,0,0,0,2,0,4,1,6,0,0,0,0,0,0,0,1,0,8,0,0,0
102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
