year,基隆市,臺北市,新北市,桃園市,新竹縣,新竹市,苗栗縣,臺中市,南投縣,彰化縣,雲林縣,嘉義縣,嘉義市,臺南市,高雄市,屏東縣,宜蘭縣,花蓮縣,臺東縣,金門縣,澎湖縣,連江縣
114,0,0,0,1,0,0,0,0,0,0,4,3,0,11,10,5,0,0,1,1,0,0
113,0,0,1,2,0,0,1,0,0,6,19,17,0,27,31,8,0,1,3,0,0,0
112,0,0,0,3,2,0,1,1,0,10,83,14,0,52,47,10,0,0,4,0,0,0
111,0,0,0,2,0,0,0,1,0,9,48,17,0,83,41,27,1,0,0,0,0,0
110,0,0,0,3,1,0,1,2,1,12,9,33,0,98,33,42,5,0,0,0,0,0
109,0,0,1,15,0,1,0,1,1,26,13,18,0,30,28,30,3,4,3,0,0,0
108,0,0,1,4,0,0,2,1,0,18,18,2,0,6,6,18,3,2,0,0,0,0
107,0,0,1,15,0,0,2,2,0,2,7,7,0,4,3,14,1,4,0,1,0,0
106,0,0,0,2,0,0,1,1,0,1,0,2,0,3,5,1,1,1,0,0,0,0
105,0,0,1,4,0,0,0,0,0,1,0,6,0,3,4,3,0,0,0,0,0,0
104,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,3,0,0,0,0,0,0
103,0,0,0,0,0,0,0,0,0,11,0,0,0,1,2,1,0,0,0,0,0,0
102,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,6,0,0,2,0,0,0
101,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0
100,0,0,0,0,0,0,1,0,0,1,4,2,0,9,2,5,0,0,0,0,0,0
99,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0
98,0,0,0,0,0,0,0,0,0,2,1,3,0,1,0,3,0,0,0,0,0,0
97,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0
96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
