year,基隆市,臺北市,新北市,桃園市,新竹縣,新竹市,苗栗縣,臺中市,南投縣,彰化縣,雲林縣,嘉義縣,嘉義市,臺南市,高雄市,屏東縣,宜蘭縣,花蓮縣,臺東縣,金門縣,澎湖縣,連江縣
114,0,3,3,3,3,0,1,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0
113,0,0,10,2,7,0,20,5,8,0,0,2,0,1,0,0,0,6,9,0,0,0
112,0,0,2,6,23,1,18,7,15,0,3,4,0,0,0,0,1,0,7,0,0,0
111,0,0,6,5,2,1,4,15,32,2,4,2,0,0,0,1,0,1,2,0,0,0
110,0,0,3,7,4,0,3,14,14,5,2,3,0,4,0,1,0,1,1,0,0,0
109,0,0,6,0,4,0,5,6,10,2,0,8,0,2,0,0,3,4,3,0,0,0
108,0,0,2,1,0,0,8,3,9,0,0,13,0,5,1,4,0,0,6,0,0,0
107,0,0,2,1,1,0,1,3,7,0,1,4,0,4,0,1,0,5,8,0,0,0
106,1,0,3,0,0,0,3,4,8,0,0,0,0,3,0,0,0,2,4,0,0,0
105,0,1,2,0,5,0,12,5,9,0,3,4,0,2,0,0,0,1,2,0,0,0
104,0,0,0,0,1,1,19,0,0,0,0,1,0,1,0,0,0,3,8,0,0,0
103,0,0,0,0,1,1,18,0,0,0,0,1,0,3,0,0,0,0,1,0,0,0
102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
