year,基隆市,臺北市,新北市,桃園市,新竹縣,新竹市,苗栗縣,臺中市,南投縣,彰化縣,雲林縣,嘉義縣,嘉義市,臺南市,高雄市,屏東縣,宜蘭縣,花蓮縣,臺東縣,金門縣,澎湖縣,連江縣
113,3,5,10,3,2,0,19,8,39,0,1,27,0,30,3,1,15,10,18,0,0,0
112,0,8,9,7,25,4,21,18,26,3,6,25,0,29,11,8,6,18,13,0,0,0
111,4,4,9,10,17,0,10,21,51,4,6,33,0,45,19,11,13,15,25,0,0,0
110,0,5,15,7,5,1,8,16,31,0,4,28,0,63,11,8,6,10,14,0,0,0
109,1,0,5,4,9,0,29,14,16,0,3,45,0,40,35,18,9,19,24,0,0,0
108,0,0,8,6,8,8,22,11,10,9,10,33,1,25,26,26,4,22,34,0,0,0
107,0,0,9,3,3,0,15,9,17,2,1,14,0,14,12,10,6,3,15,0,0,0
106,0,0,7,1,1,1,4,2,4,2,1,10,0,7,8,2,5,8,11,0,0,0
105,0,0,1,2,0,0,6,13,6,1,1,10,0,5,10,1,4,9,3,0,0,0
104,0,0,1,0,2,0,7,5,7,2,3,1,1,3,4,1,1,4,5,0,0,0
103,0,2,0,1,2,0,3,3,7,1,4,5,0,1,2,1,5,0,7,0,0,0
102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
