year,基隆市,臺北市,新北市,桃園市,新竹縣,新竹市,苗栗縣,臺中市,南投縣,彰化縣,雲林縣,嘉義縣,嘉義市,臺南市,高雄市,屏東縣,宜蘭縣,花蓮縣,臺東縣,金門縣,澎湖縣,連江縣
113,1,0,10,4,52,0,62,20,24,1,0,0,0,0,0,0,2,3,16,0,0,0
112,1,0,21,10,67,0,111,25,16,0,0,0,0,0,0,2,5,7,31,0,0,0
111,0,0,12,7,7,0,39,19,19,0,0,0,0,11,1,2,10,1,20,0,0,0
110,0,0,15,6,22,0,34,18,36,1,0,0,0,25,8,16,7,6,24,0,0,0
109,3,0,3,5,33,0,113,23,17,3,1,3,0,12,5,10,7,9,13,0,0,0
108,2,0,12,10,48,0,72,21,14,2,1,11,0,19,9,12,7,13,24,0,0,0
107,1,0,13,19,26,0,30,11,19,1,1,4,0,9,14,16,4,6,18,0,0,0
106,1,1,20,4,15,0,21,11,18,1,6,3,0,10,5,9,1,65,14,0,0,0
105,0,0,4,13,9,0,52,29,10,5,0,3,0,8,2,11,3,28,12,0,0,0
104,0,0,2,3,0,0,13,6,10,0,0,0,0,1,2,4,1,19,6,0,0,0
103,0,0,1,0,5,0,4,1,3,0,0,0,0,0,1,1,2,1,4,0,0,0
102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
