year,基隆市,臺北市,新北市,桃園市,新竹縣,新竹市,苗栗縣,臺中市,南投縣,彰化縣,雲林縣,嘉義縣,嘉義市,臺南市,高雄市,屏東縣,宜蘭縣,花蓮縣,臺東縣,金門縣,澎湖縣,連江縣
111,0,0,1,8,1,1,1,5,3,7,0,1,0,18,11,2,3,1,5,1,1,0
110,0,0,7,14,3,0,1,11,3,6,2,9,0,27,20,15,6,7,10,2,1,0
109,0,0,1,5,6,0,2,3,3,9,11,10,0,11,6,4,1,4,7,5,0,1
108,0,0,1,2,0,0,0,3,3,1,9,2,0,8,4,7,2,5,3,4,1,0
107,0,0,0,0,1,0,0,5,3,0,0,1,0,2,3,1,0,1,0,7,1,0
106,0,0,2,2,1,0,0,4,8,1,1,4,0,2,3,3,1,2,2,12,0,0
105,0,0,0,1,0,0,0,3,3,2,0,2,0,4,1,2,0,4,1,5,2,0
104,0,0,0,1,1,0,1,0,3,3,3,1,0,0,1,1,1,6,3,2,0,0
103,0,0,0,10,2,0,1,1,0,1,2,1,0,1,0,1,0,5,2,2,0,0
102,0,0,1,4,0,0,2,0,0,0,4,0,0,1,0,2,0,0,0,1,1,1
101,0,0,3,3,1,0,0,1,1,0,0,0,0,1,0,5,0,4,2,2,1,0
100,0,0,0,2,0,0,0,0,1,6,2,5,0,2,1,1,0,2,2,0,2,0
99,0,0,0,1,1,1,0,0,0,2,3,2,0,2,0,0,0,2,0,0,1,0
98,0,0,0,5,0,0,0,3,2,1,2,3,0,1,1,2,1,3,1,0,1,0
97,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,2,1,0,1,0
