year,基隆市,臺北市,新北市,桃園市,新竹縣,新竹市,苗栗縣,臺中市,南投縣,彰化縣,雲林縣,嘉義縣,嘉義市,臺南市,高雄市,屏東縣,宜蘭縣,花蓮縣,臺東縣,金門縣,澎湖縣,連江縣
111,0,0,5,119,21,3,16,34,58,89,168,67,8,365,81,68,19,24,17,2,17,0
110,0,0,4,138,16,0,13,36,59,56,123,112,22,266,80,120,50,12,23,1,9,1
109,0,0,2,88,13,2,20,44,39,162,152,34,7,101,41,272,15,16,31,2,11,1
108,0,0,4,21,9,5,8,14,15,98,64,11,0,49,33,67,4,20,15,5,9,1
107,0,0,0,31,4,1,15,16,15,37,10,7,0,10,18,28,2,2,2,1,4,0
106,0,0,2,21,7,3,5,8,10,9,6,3,0,11,7,5,1,0,1,2,5,0
105,0,0,0,7,1,0,3,1,2,2,3,3,0,12,7,4,0,2,4,0,1,0
104,0,0,1,0,1,0,0,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0
103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
