變異點編號,權責單位,查證結果,變異類型,latitude,longitude
N2411201060,彰化縣,違規,新增建物,23.83355,120.34243
N2511202056,彰化縣,合法,作物變化,23.84670,120.36734
N2311201002,彰化縣,違規,傾倒廢棄物、土,23.99127,120.37950
N1111201086,彰化縣,合法,作物變化,24.05648,120.41318
N1611201005,彰化縣,違規,新增建物,23.97954,120.43331
N2211201032,彰化縣,合法,作物變化,23.90225,120.46081
N1711201118,彰化縣,合法,其他,23.94099,120.51566
AN1311201006,彰化縣,違規,堆積土石,24.03281,120.55956
N2411201050,彰化縣,合法,整地,23.86573,120.28015
N2411201058,彰化縣,違規,新增建物,23.84330,120.33355
N2311202001,彰化縣,違規,傾倒廢棄物、土,23.97394,120.34006
N2311202010,彰化縣,合法,整地,23.96268,120.36807
N2311202016,彰化縣,合法,作物變化,23.92535,120.36911
N1111202030,彰化縣,合法,新增建物,24.04337,120.38967
N0811201047,彰化縣,合法,新增建物,23.89457,120.43938
N1011201070,彰化縣,違規,新增建物,24.14772,120.45852
N1511202078,彰化縣,違規,其他,23.99822,120.52161
N2611201129,彰化縣,違規,新增建物,23.82295,120.56717
AN1311202006,彰化縣,違規,其他開挖整地,24.03163,120.58402
N0111202072,彰化縣,違規,新增建物,24.09680,120.58714
N2411201051,彰化縣,合法,其他,23.87281,120.29284
N2311201024,彰化縣,合法,作物變化,23.91720,120.36498
N2311202011,彰化縣,合法,其他,23.96198,120.36762
N1111201092,彰化縣,合法,作物變化,24.03510,120.39557
N2211201049,彰化縣,違規,新增建物,23.88567,120.45882
N0511201115,彰化縣,合法,整地,23.97222,120.55773
N2411201041,彰化縣,違規,新增建物,23.87461,120.30971
N2311201014,彰化縣,合法,其他,23.93928,120.34787
N2311201016,彰化縣,合法,整地,23.93315,120.35774
N0811201027,彰化縣,違規,移除水域(漁塭或水塘),23.92301,120.37663
N2511201053,彰化縣,合法,新增建物,23.86043,120.41169
N2511201054,彰化縣,合法,其他,23.85850,120.41185
N2511201052,彰化縣,合法,其他,23.87013,120.42595
N1111201094,彰化縣,合法,新增建物,24.02398,120.42763
N1111201095,彰化縣,合法,新增建物,24.02395,120.42801
N1011201069,彰化縣,違規,新增建物,24.16463,120.49049
N0311201076,彰化縣,合法,新增建物,24.09647,120.49404
N1211201135,彰化縣,違規,傾倒廢棄物、土,24.03402,120.51333
N1511203050,彰化縣,違規,新增建物,23.99504,120.52869
N1511202061,彰化縣,合法,新增建物,23.97793,120.56369
N1511201110,彰化縣,合法,新增建物,23.98429,120.56447
N2611201130,彰化縣,合法,其他,23.82208,120.58033
AN1411202004,彰化縣,違規,其他開挖整地,24.00979,120.61975
N2311201022,彰化縣,違規,新增建物,23.91936,120.33872
N1111201108,彰化縣,合法,新增建物,24.02307,120.43660
204112013010,第四河川局,合法,其他,23.82266,120.46947
N2611201062,彰化縣,合法,新增建物,23.83543,120.46993
204112013030,第四河川局,不屬於其管轄範圍,其他,23.82362,120.52952
N1511201109,彰化縣,違規,整地,23.98884,120.54262
N0511202062,彰化縣,違規,新增建物,23.97483,120.59591
AN1911202001,彰化縣,違規,堆積土石,23.91840,120.60861
N0811201046,彰化縣,合法,新增建物,23.88208,120.43275
80111201011,彰化縣,合法,自然植被改變,23.92059,120.43943
N2211201031,彰化縣,違規,傾倒廢棄物、土,23.91714,120.46415
N0611201114,彰化縣,違規,整地,23.95639,120.51491
N1211202077,彰化縣,合法,新增建物,24.01442,120.52583
N1711201119,彰化縣,違規,其他,23.93914,120.54186
N2611201126,彰化縣,合法,軍事用地,23.84297,120.55501
N2311201021,彰化縣,合法,新增建物,23.89963,120.32555
N2311201040,彰化縣,合法,新增建物,23.88634,120.32758
204112023001,第四河川局,合法,種植,23.83555,120.36668
N0811201026,彰化縣,合法,自然植被改變,23.91601,120.38060
N0211201084,彰化縣,違規,其他,24.05632,120.42041
N1611201107,彰化縣,合法,道路變化,24.00041,120.45614
N1111201096,彰化縣,合法,新增建物,24.02458,120.45773
N0611202015,彰化縣,違規,其他,23.95661,120.46909
N1011203027,彰化縣,違規,整地,24.16873,120.47794
N1211202059,彰化縣,違規,傾倒廢棄物、土,24.04893,120.48642
N1211202058,彰化縣,合法,作物變化,24.05570,120.50548
N1711202060,彰化縣,合法,整地,23.97619,120.52066
N2111201121,彰化縣,違規,新增建物,23.89860,120.53759
N1311201136,彰化縣,違規,整地,24.02478,120.54769
204112013015,第四河川局,合法,種植,23.80008,120.60040
20311202015,第三河川局,不屬於其管轄範圍,其他,23.98324,120.64807
N2411201059,彰化縣,違規,新增建物,23.84786,120.34043
N0811201044,彰化縣,合法,新增建物,23.87529,120.36109
20411201004,第四河川局,合法,改變流路,23.83167,120.38541
N1111201080,彰化縣,合法,作物變化,24.05261,120.40735
N1211201079,彰化縣,合法,作物變化,24.07409,120.49611
N1011201063,彰化縣,違規,整地,24.18773,120.49812
20411201019,第四河川局,合法,其他,23.79887,120.57554
AN0511202007,彰化縣,違規,開發建築用地,23.98116,120.59317
N0211201081,彰化縣,違規,新增建物,24.06925,120.42712
N0211201075,彰化縣,違規,移除水域(漁塭或水塘),24.09021,120.46435
N0211201088,彰化縣,違規,新增建物,24.06967,120.47529
N1111201098,彰化縣,合法,作物變化,24.03411,120.47626
N1811201034,彰化縣,合法,其他,23.92121,120.50505
N2611201128,彰化縣,合法,作物變化,23.81772,120.51910
N2611201131,彰化縣,合法,自然植被改變,23.81836,120.58963
AN0511202008,彰化縣,違規,堆積土石,23.97126,120.61520
20311201003,第三河川局,合法,其他,24.10028,120.59848
AN1411202005,彰化縣,違規,其他開挖整地,24.00542,120.61277
N1411202081,彰化縣,合法,整地,24.01796,120.64398
