變異點編號,權責單位,查證結果,變異類型,latitude,longitude
AK0211201093,苗栗縣,違規,其他開挖整地,24.44887,120.67747
20311201009,第三河川局,合法,其他,24.33050,120.75751
202112013005,第二河川局,合法,其他,24.61097,120.77845
20211201008,第二河川局,不屬於其管轄範圍,其他,24.60329,120.79428
20211201001,第二河川局,合法,其他,24.47017,120.80699
20211201009,第二河川局,不屬於其管轄範圍,其他,24.59589,120.81534
20211201004,第二河川局,合法,其他,24.59844,120.81974
20211201005,第二河川局,合法,其他,24.54628,120.82938
202112013002,第二河川局,合法,其他,24.66580,120.84421
AK1611201063,苗栗縣,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),24.33623,120.84600
AK0411201073,苗栗縣,違規,其他開挖整地,24.48007,120.84616
AK1611201062,苗栗縣,違規,整坡作業,24.35002,120.85278
AK1611201061,苗栗縣,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),24.35758,120.85578
AK1111201039,苗栗縣,違規,違規農業使用,24.64906,120.85861
AK1111201041,苗栗縣,合法,其他,24.64942,120.85984
202112013001,第二河川局,合法,其他,24.42702,120.86202
20211201002,第二河川局,合法,其他,24.46446,120.86454
AK0411201074,苗栗縣,違規,其他開挖整地,24.46597,120.86536
AK0411201075,苗栗縣,違規,其他開挖整地,24.50002,120.86642
AK0811201056,苗栗縣,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),24.60123,120.87371
AK0911201106,苗栗縣,違規,堆積土石,24.71952,120.87594
AK1611201064,苗栗縣,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),24.33966,120.88062
202112013003,第二河川局,已知工程,工程施作,24.66635,120.88533
202112013009,第二河川局,不屬於其管轄範圍,其他,24.62573,120.88943
AK0811201057,苗栗縣,違規,整坡作業,24.54514,120.89505
AK0911201105,苗栗縣,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),24.72674,120.89586
20211201007,第二河川局,不屬於其管轄範圍,其他,24.67637,120.90226
20211201003,第二河川局,合法,其他,24.67620,120.90235
AK0911201104,苗栗縣,違規,未依核定計畫施工,24.73339,120.90338
AK1111201051,苗栗縣,合法,其他,24.62175,120.91126
202112013010,第二河川局,不屬於其管轄範圍,其他,24.54328,120.92197
AK1311201006,苗栗縣,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),24.64376,120.92901
20211201010,第二河川局,不屬於其管轄範圍,其他,24.56558,120.93640
AK1311201014,苗栗縣,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),24.61175,120.93652
AK1311201010,苗栗縣,違規,整坡作業,24.62802,120.93822
AK1311201002,苗栗縣,合法,政府單位興辦農路,24.66524,120.95826
AK1311201016,苗栗縣,合法,其他,24.60343,120.95874
AK1311201001,苗栗縣,合法,自然裸露地,24.66818,120.95993
AK1311201003,苗栗縣,合法,自然裸露地,24.65688,120.96411
AK1311201017,苗栗縣,合法,其他,24.59633,120.96604
AK1311201018,苗栗縣,合法,其他,24.59688,120.96611
202112013004,第二河川局,合法,其他,24.64300,120.98068
AK1411201067,苗栗縣,合法,其他,24.61175,120.99566
AK1411201066,苗栗縣,合法,其他,24.63023,121.00091
AK1411201065,苗栗縣,合法,其他,24.62955,121.00137
AK1411201068,苗栗縣,合法,其他,24.61229,121.00404
