變異點編號,權責單位,查證結果,變異類型,latitude,longitude
AV1411301068,臺東縣,合法,其他,22.415100545430500,120.849127582420000
AV1411301069,臺東縣,合法,其他,22.383416829641300,120.854603219232000
AV1411301070,臺東縣,合法,其他,22.382424414775600,120.855661432017000
AV1411301071,臺東縣,合法,其他,22.390336559888100,120.886124409898000
AV0511301012,臺東縣,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),22.379519262332600,120.896725801927000
AV1511301151,臺東縣,合法,其他,22.531046771792900,120.901337262538000
AV0511301010,臺東縣,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),22.401565163782100,120.907422674178000
AV0511301009,臺東縣,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),22.456661739849800,120.919187463599000
AV0511301011,臺東縣,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),22.406325796597000,120.921939210095000
AV1511301152,臺東縣,合法,其他,22.526460859517200,120.926067348857000
AV1511301150,臺東縣,合法,其他,22.570269277200700,120.945359694894000
AV1511301144,臺東縣,合法,其他,22.593186941560600,120.949324943552000
AV1511301145,臺東縣,合法,其他,22.594150222899600,120.950803902352000
AV1511301146,臺東縣,合法,其他,22.596640779164300,120.956199515788000
AV1511301137,臺東縣,合法,其他,22.637480951826600,120.959835947106000
AV1511301147,臺東縣,合法,治山防災工程,22.594134272117600,120.960455727644000
AV1511301149,臺東縣,合法,其他,22.595879158403600,120.961051280796000
AV1511301139,臺東縣,合法,其他,22.603274401620900,120.962406735447000
AV1511301136,臺東縣,合法,其他,22.647551147218400,120.964130951661000
AV1511301148,臺東縣,合法,治山防災工程,22.591987384542700,120.968924808345000
AV1511301135,臺東縣,合法,其他,22.650995091913100,120.970208972476000
AV1511301138,臺東縣,違規,其他開挖整地,22.622346020799900,120.972183619134000
AV1511301141,臺東縣,合法,其他,22.604827176659800,120.984866005158000
AV1511301140,臺東縣,合法,其他,22.609255780450200,120.985832071705000
AV1511301142,臺東縣,合法,其他,22.603858801305300,120.986080127772000
AV1511301143,臺東縣,違規,堆積土石,22.603603122139700,120.997965094442000
AV0411301058,臺東縣,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),22.717255472892900,121.021609534568000
AV0411301060,臺東縣,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),22.708446842740600,121.021873270821000
AV0411301059,臺東縣,違規,違規農業使用,22.716325291975000,121.021916015474000
AV0411301062,臺東縣,違規,整坡作業,22.709363994671100,121.022153806596000
AV0411301061,臺東縣,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),22.711855486629000,121.026276308644000
V0411301014,臺東縣,合法,整地,22.704517301287200,121.028545371655000
V0411301012,臺東縣,合法,整地,22.705208044934300,121.030409065193000
V0411301013,臺東縣,合法,新增建物,22.703795442751300,121.031323758786000
AV0111301156,臺東縣,違規,其他開挖整地,22.712087224174400,121.033736357959000
AV0411301055,臺東縣,合法,自然裸露地,22.744320252993100,121.040603658437000
AV0411301066,臺東縣,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),22.775052379329100,121.045969692842000
AV0411301067,臺東縣,合法,其他,22.777935017524300,121.046646375713000
AV0411301057,臺東縣,違規,其他開挖整地,22.746571619906700,121.046803874822000
AV0411301056,臺東縣,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),22.743935990577800,121.047139434456000
AV0111301155,臺東縣,合法,其他,22.731777272309800,121.047556572262000
AV0111301154,臺東縣,合法,其他,22.742118369960600,121.054991093671000
AV0411301064,臺東縣,合法,其他,22.802652729948300,121.056434455044000
AV1211301163,臺東縣,合法,無道路可到達,22.869016891912500,121.060980997096000
AV1211301160,臺東縣,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),22.896187645900500,121.079185841373000
AV0411301063,臺東縣,合法,其他,22.849384627061100,121.084078034381000
V0111301007,臺東縣,合法,堆置土石方,22.729005092742800,121.089368134623000
V0411302005,臺東縣,合法,自然植被改變,22.859377292101200,121.094172984477000
V0111301004,臺東縣,合法,整地,22.739986057712700,121.095680556772000
AV1211301159,臺東縣,違規,違規農業使用,22.918431360589400,121.101230707424000
V0111301006,臺東縣,合法,作物變化,22.736760594627400,121.101352917821000
V0111301005,臺東縣,合法,作物變化,22.741233101676400,121.101932266553000
V0911301020,臺東縣,合法,其他,22.905447927286700,121.103401030830000
AV1211301158,臺東縣,合法,政府單位興辦農路,22.929293148827500,121.104451062946000
V0911302003,臺東縣,合法,新增水域(漁塭或水塘),22.900920787968100,121.108629773159000
V0111301028,臺東縣,合法,整地,22.762020267251000,121.109453697899000
AV1211301157,臺東縣,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),22.964645664376500,121.111063234966000
