變異點編號,權責單位,查證結果,變異類型,latitude,longitude,created,modified
20511501001,第五河川分署,非違規,其他,23.324278295692400,120.231164158182000,"2026-04-29 23:31:48",
20511501004,第五河川分署,已知工程,工程施作,23.508226400742000,120.241306565671000,"2026-04-29 23:31:48",
20511501005,第五河川分署,非違規,其他,23.485515009737600,120.286926454695000,"2026-04-29 23:31:48",
20511501006,第五河川分署,非違規,整地,23.491201605647700,120.298080457013000,"2026-04-29 23:31:48",
20511501007,第五河川分署,已知工程,工程施作,23.418980079229500,120.405123013097000,"2026-04-29 23:31:48",
20511501009,第五河川分署,不屬於其管轄範圍,其他,23.412890588258200,120.436339993150000,"2026-04-29 23:31:48",
20511501021,第五河川分署,非違規,其他,23.614698950858400,120.411982737637000,"2026-04-29 23:31:48",
20511501026,第五河川分署,不屬於其管轄範圍,其他,23.526938805724500,120.247322514104000,"2026-04-29 23:31:48",
20511501035,第五河川分署,非違規,其他,23.503930559771400,120.306345079448000,"2026-04-29 23:31:48",
20511501036,第五河川分署,非違規,其他,23.508730926841800,120.425678209508000,"2026-04-29 23:31:48",
20511501037,第五河川分署,不屬於其管轄範圍,其他,23.503663284376700,120.503761790559000,"2026-04-29 23:31:48",
20511501038,第五河川分署,不屬於其管轄範圍,其他,23.493569904528600,120.511446033059000,"2026-04-29 23:31:48",
20511501048,第五河川分署,非違規,其他,23.553057396471800,120.542903577307000,"2026-04-29 23:31:48",
20511502001,第五河川分署,已知工程,工程施作,23.467733311248300,120.191176141832000,"2026-04-29 23:31:48",
20511502003,第五河川分署,非違規,種植,23.375334542200700,120.293399854262000,"2026-04-29 23:31:48",
20511502015,第五河川分署,已知工程,工程施作,23.541193937047900,120.280702286964000,"2026-04-29 23:31:48",
20511502016,第五河川分署,非違規,其他,23.508857774218000,120.407088039224000,"2026-04-29 23:31:48",
20511502017,第五河川分署,非違規,其他,23.433761300197000,120.542004699117000,"2026-04-29 23:31:48",
20511502018,第五河川分署,非違規,其他,23.441975187963400,120.586928593405000,"2026-04-29 23:31:48",
20511502021,第五河川分署,非違規,其他,23.301820829987000,120.192798360909000,"2026-04-29 23:31:48",
